文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读三：强化安全保障,业和信息化部,2018-02-12 16:03, 013353737/2018-02745950,政策,其他,2745950.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读二：打造平台体系,业和信息化部,2018-02-12 16:01, 013353737/2018-02745946,政策,其他,2745946.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读一：夯实网络基础,业和信息化部,2018-02-12 15:59, 013353737/2018-02745934,政策,其他,2745934.txt
2018年全国工业和信息化工作会议解读,工信委,2017-12-25 15:40, 013353737/2018-02701764,会议,文秘工作,2701764.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》解读,工信委,2017-11-30 17:23, 013353737/2018-02917235,互联网+先进制造业,其他,2917235.txt
中共西安市工业和信息化委员会党组关于张英杰巩庆平同志任职的通知,工信委,2018-07-03 10:05, 013353737/2018-02945516,职务任免,人事工作,2945516.txt
中共西安市工业和信息化委员会党组关于郭延兵等同志任职的通知,工信委,2018-06-15 18:42, 013353737/2018-02945920,职务任免,人事工作,2945920.txt
中共西安市工业和信息化委员会党组关于任敏同志任职的通知,工信委,2018-06-14 11:02, 013353737/2018-02945503,职务任免,人事工作,2945503.txt
中共西安市工业和信息化委员会党组关于黄京武等同志职务任免的通知,工信委,2018-03-01 14:20, 013353737/2018-02945890,职务任免,人事工作,2945890.txt
尤骁任西安市工业和信息化委员会（市中小企业促进局）副主任（副局长）,工信委,2017-08-31 11:04, 013353737/2017-02544402,职务任免,人事工作,2544402.txt
关于谭志恒、朱新宇同志任职的通知,工信委,2017-07-04 14:18, 013353737/2017-02488867,任免,人事工作,2488867.txt
金乾生任西安市工业和信息化委员会（市中小企业促进局）巡视员,工信委,2017-06-26 13:53, 013353737/2017-02482219,职务任免,人事工作,2482219.txt
韩博、寇联岗任西安市工业和信息化委员会（市中小企业促进局）副主任（副局长）,工信委,2017-06-07 13:57, 013353737/2017-02482227,职务任免,人事工作,2482227.txt
孙琦峰同志任市工业和信息化委员会（市中小企业促进局）党组书记、主任（局长）,工信委,2017-04-28 13:34, 013353737/2017-02482144,职务任免,人事工作,2482144.txt
​关于任于安同志到龄免职退休的通知,工信委,2016-12-15 15:08, 013353737/2017-02278801,退休,人事工作,2278801.txt
关于蔡如川同志任免职的通知,工信委,2016-04-01 21:54, 013353737/2016-02022655,职务任免,人事工作,2022655.txt
关于巩庆平、白兴义同志任免职的通知,工信委,2016-04-01 21:52, 013353737/2016-02022649,职务任免,人事工作,2022649.txt
关于张英杰等同志任免职的通知,工信委,2016-04-01 21:51, 013353737/2016-02022646,职务任免,人事工作,2022646.txt
​关于庞广龙等同志职务任免的通知,工信委,2015-12-21 15:29, 013353737/2015-01902042,职务任免,人事工作,1902042.txt
西安市工业和信息化委员会2017年度部门决算,工信委,2018-09-21 19:17, 013353737/2018-02964307,决算,财政,2964307.txt
西安市工业和信息化委员会2018年部门综合预算,工信委,2018-02-28 14:39, 013353737/2018-02754315,预算,财政,2754315.txt
西安市工业和信息化委员会2016年度部门决算,工信委,2017-09-21 13:50, 013353737/2017-02577327,决算,财政,2577327.txt
